,output_dim,nodes,activation,regularizer,stacking,dropout,nlayers,closer,optimizer,epochs,batch_size,loss_func,accuracy,loss,val_accuracy,val_loss
0,3,128,relu,,False,False,3,False,rmsprop,15,64,categorical_crossentropy,0.7870580554008484,0.519582986831665,0.7606902122497559,0.6027606129646301
1,3,128,relu,,False,False,3,False,rmsprop,12,64,sparse_categorical_crossentropy,0.7827441096305847,0.528419017791748,0.7555555701255798,0.5995938181877136
2,3,128,relu,,False,False,3,True,rmsprop,19,64,categorical_crossentropy,0.7925084233283997,0.5065599679946899,0.7603535056114197,0.5941241979598999
3,3,128,relu,,False,False,3,True,rmsprop,16,64,sparse_categorical_crossentropy,0.7899831533432007,0.5138344764709473,0.7558080554008484,0.601580798625946
4,3,128,relu,,False,True,3,False,rmsprop,17,64,categorical_crossentropy,0.7911195158958435,0.5126624703407288,0.7599326372146606,0.6031630635261536
5,3,128,relu,,False,True,3,False,rmsprop,14,64,sparse_categorical_crossentropy,0.7871212363243103,0.5205061435699463,0.7516834735870361,0.6045092344284058
6,3,128,relu,,False,True,3,True,rmsprop,16,64,categorical_crossentropy,0.789330780506134,0.5163660645484924,0.7506734132766724,0.6108438968658447
7,3,128,relu,,False,True,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.7890151739120483,0.5171102285385132,0.755471408367157,0.598150908946991
8,3,128,relu,,True,False,3,False,rmsprop,18,64,categorical_crossentropy,0.7904671430587769,0.5095070600509644,0.7553030252456665,0.6026628613471985
9,3,128,relu,,True,False,3,False,rmsprop,12,64,sparse_categorical_crossentropy,0.7831228971481323,0.5285109877586365,0.7553871870040894,0.5971992611885071
10,3,128,relu,,True,False,3,True,rmsprop,16,64,categorical_crossentropy,0.7884048819541931,0.5132280588150024,0.7505892515182495,0.6019181609153748
11,3,128,relu,,True,False,3,True,rmsprop,19,64,sparse_categorical_crossentropy,0.7919402122497559,0.5061311721801758,0.7532828450202942,0.6059557199478149
12,3,128,relu,,True,True,3,False,rmsprop,14,64,categorical_crossentropy,0.7857954502105713,0.522764265537262,0.7534511685371399,0.6013851165771484
13,3,128,relu,,True,True,3,False,rmsprop,13,64,sparse_categorical_crossentropy,0.7842171788215637,0.5264266133308411,0.7553871870040894,0.5990868806838989
14,3,128,relu,,True,True,3,True,rmsprop,17,64,categorical_crossentropy,0.7914141416549683,0.511559784412384,0.7483165264129639,0.6102575063705444
15,3,128,relu,,True,True,3,True,rmsprop,18,64,sparse_categorical_crossentropy,0.7900252342224121,0.5088415741920471,0.7546296119689941,0.6097902655601501
16,3,128,relu,L1,False,False,3,False,rmsprop,14,64,categorical_crossentropy,0.7849747538566589,0.5201770663261414,0.7547138333320618,0.6035146713256836
17,3,128,relu,L1,False,False,3,False,rmsprop,12,64,sparse_categorical_crossentropy,0.7820075750350952,0.5302781462669373,0.7556397318840027,0.6004811525344849
18,3,128,relu,L1,False,False,3,True,rmsprop,21,64,categorical_crossentropy,0.7931607961654663,0.5022600889205933,0.7593434453010559,0.6035011410713196
19,3,128,relu,L1,False,False,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.7868897318840027,0.5204638242721558,0.7520201802253723,0.6005027294158936
20,3,128,relu,L1,False,True,3,False,rmsprop,15,64,categorical_crossentropy,0.7879208922386169,0.517906904220581,0.7594276070594788,0.5963937640190125
21,3,128,relu,L1,False,True,3,False,rmsprop,11,64,sparse_categorical_crossentropy,0.779924213886261,0.5345876216888428,0.7483165264129639,0.6028880476951599
22,3,128,relu,L1,False,True,3,True,rmsprop,15,64,categorical_crossentropy,0.7904040217399597,0.5155788660049438,0.7592592835426331,0.5975396633148193
23,3,128,relu,L1,False,True,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.787436842918396,0.5175343751907349,0.7565656304359436,0.604608416557312
24,3,128,relu,L1,True,False,3,False,rmsprop,14,64,categorical_crossentropy,0.7871633172035217,0.5202088356018066,0.7546296119689941,0.6024160385131836
25,3,128,relu,L1,True,False,3,False,rmsprop,11,64,sparse_categorical_crossentropy,0.779776930809021,0.5364830493927002,0.7522727251052856,0.6006141901016235
26,3,128,relu,L1,True,False,3,True,rmsprop,22,64,categorical_crossentropy,0.7967802882194519,0.49611857533454895,0.7583333253860474,0.6012112498283386
27,3,128,relu,L1,True,False,3,True,rmsprop,11,64,sparse_categorical_crossentropy,0.7796086072921753,0.5343241691589355,0.7555555701255798,0.5975943207740784
28,3,128,relu,L1,True,True,3,False,rmsprop,14,64,categorical_crossentropy,0.7858585715293884,0.5211021900177002,0.7532828450202942,0.6013394594192505
29,3,128,relu,L1,True,True,3,False,rmsprop,12,64,sparse_categorical_crossentropy,0.7834175229072571,0.5269045829772949,0.7585858702659607,0.6090773344039917
30,3,128,relu,L1,True,True,3,True,rmsprop,15,64,categorical_crossentropy,0.7872053980827332,0.5191091895103455,0.7593434453010559,0.5977746844291687
31,3,128,relu,L1,True,True,3,True,rmsprop,20,64,sparse_categorical_crossentropy,0.7939394116401672,0.5022332072257996,0.7547979950904846,0.6076305508613586
32,3,128,relu,L2,False,False,3,False,rmsprop,18,64,categorical_crossentropy,0.7907407283782959,0.5084397196769714,0.7567340135574341,0.6022912859916687
33,3,128,relu,L2,False,False,3,False,rmsprop,19,64,sparse_categorical_crossentropy,0.7924663424491882,0.5045389533042908,0.7570707201957703,0.6021130681037903
34,3,128,relu,L2,False,False,3,True,rmsprop,17,64,categorical_crossentropy,0.7888467907905579,0.512595534324646,0.7507575750350952,0.6055915951728821
35,3,128,relu,L2,False,False,3,True,rmsprop,16,64,sparse_categorical_crossentropy,0.785669207572937,0.5163548588752747,0.7562289834022522,0.5978363752365112
36,3,128,relu,L2,False,True,3,False,rmsprop,15,64,categorical_crossentropy,0.787436842918396,0.5162052512168884,0.7553030252456665,0.6050976514816284
37,3,128,relu,L2,False,True,3,False,rmsprop,12,64,sparse_categorical_crossentropy,0.7848485112190247,0.5257518291473389,0.7588383555412292,0.5987818241119385
38,3,128,relu,L2,False,True,3,True,rmsprop,13,64,categorical_crossentropy,0.7859006524085999,0.5259379148483276,0.7579966187477112,0.5996520519256592
39,3,128,relu,L2,False,True,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.784827470779419,0.5195232033729553,0.756313145160675,0.5985555648803711
40,3,128,relu,L2,True,False,3,False,rmsprop,16,64,categorical_crossentropy,0.7892045378684998,0.5134331583976746,0.7567340135574341,0.6003624200820923
41,3,128,relu,L2,True,False,3,False,rmsprop,13,64,sparse_categorical_crossentropy,0.784196138381958,0.5235670804977417,0.7519360184669495,0.6003561615943909
42,3,128,relu,L2,True,False,3,True,rmsprop,22,64,categorical_crossentropy,0.7953914403915405,0.49860256910324097,0.7558080554008484,0.6022871136665344
43,3,128,relu,L2,True,False,3,True,rmsprop,17,64,sparse_categorical_crossentropy,0.7902988195419312,0.511816680431366,0.7562289834022522,0.6003487706184387
44,3,128,relu,L2,True,True,3,False,rmsprop,14,64,categorical_crossentropy,0.787563145160675,0.5202192068099976,0.7478955984115601,0.618003785610199
45,3,128,relu,L2,True,True,3,False,rmsprop,11,64,sparse_categorical_crossentropy,0.7815446257591248,0.5329503417015076,0.7502525448799133,0.6086302399635315
46,3,128,relu,L2,True,True,3,True,rmsprop,16,64,categorical_crossentropy,0.790235698223114,0.5121598839759827,0.7593434453010559,0.6080787181854248
47,3,128,relu,L2,True,True,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.7890782952308655,0.5179732441902161,0.7595959305763245,0.6014811396598816
48,3,128,tanh,,False,False,3,False,rmsprop,17,64,categorical_crossentropy,0.7902777791023254,0.5105235576629639,0.7511784434318542,0.5984511971473694
49,3,128,tanh,,False,False,3,False,rmsprop,15,64,sparse_categorical_crossentropy,0.7882575988769531,0.5150521993637085,0.7583333253860474,0.6096492409706116
50,3,128,tanh,,False,False,3,True,rmsprop,16,64,categorical_crossentropy,0.7880471348762512,0.5138502717018127,0.7478955984115601,0.6211239695549011
